time	V(audio_out)
3.561957709697128e-003	3.950749e+000
3.563464811284752e-003	3.770997e+000
3.564411506593466e-003	3.666505e+000
3.564906461068141e-003	3.619231e+000
3.565239269210002e-003	3.592795e+000
3.565691231177249e-003	3.564148e+000
3.566359131037984e-003	3.532344e+000
3.567004860738347e-003	3.511048e+000
3.567634126567777e-003	3.497575e+000
3.568271667951712e-003	3.488803e+000
3.569136497637424e-003	3.481134e+000
3.570094097476109e-003	3.475593e+000
3.571284647676532e-003	3.471179e+000
3.572704335624937e-003	3.468008e+000
3.574232121549871e-003	3.466707e+000
3.576214406648474e-003	3.468005e+000
3.578476700640583e-003	3.473989e+000
3.582143843867453e-003	3.494280e+000
3.587026656367453e-003	3.541801e+000
3.591909468867453e-003	3.619000e+000
3.595443983460745e-003	3.709526e+000
3.598877992183771e-003	3.851621e+000
3.602549043777821e-003	4.079298e+000
3.605584547577417e-003	4.338594e+000
3.608956710950265e-003	4.695583e+000
3.611917124219525e-003	5.044389e+000
3.613431145311179e-003	5.225576e+000
3.614350846163412e-003	5.327764e+000
3.614870359287008e-003	5.377989e+000
3.615198407131972e-003	5.404500e+000
3.615644846834657e-003	5.433334e+000
3.616320430030031e-003	5.466210e+000
3.616966528235823e-003	5.487939e+000
3.617626286301787e-003	5.502307e+000
3.618220333596856e-003	5.510596e+000
3.619134733037781e-003	5.518793e+000
3.620029308677765e-003	5.524058e+000
3.621276353472370e-003	5.528727e+000
3.622649799247681e-003	5.531855e+000
3.624199726171439e-003	5.533209e+000
3.626202341187413e-003	5.531948e+000
3.628457076066683e-003	5.526031e+000
3.632112180198830e-003	5.505888e+000
3.636994992698830e-003	5.458536e+000
3.641877805198830e-003	5.381735e+000
3.645379034881923e-003	5.292650e+000
3.648812093691346e-003	5.151706e+000
3.652475081848574e-003	4.926509e+000
3.655468216126762e-003	4.672754e+000
3.658824605588559e-003	4.318915e+000
3.662020339638172e-003	3.943522e+000
3.663530763555368e-003	3.764325e+000
3.664505602317662e-003	3.657862e+000
3.664964418660091e-003	3.614895e+000
3.665308579749652e-003	3.588269e+000
3.665750925885769e-003	3.561017e+000
3.666420033468697e-003	3.529819e+000
3.666964073223289e-003	3.511890e+000
3.667549654288382e-003	3.499289e+000
3.668346422017880e-003	3.488131e+000
3.669120366690745e-003	3.481208e+000
3.670171788447941e-003	3.475230e+000
